ID,Date,User,Tweet,hashtags,language,source,views,platform,sentiment
13683,2022-05-22,seltsamai,"created for seltsamai with tools from the Midjourney private beta. for more info visit @Midjourney on twitter
⠀
#neuralart #neuralnetwork #midjourney #machinelearning #deeplearning #AI #cloudcreations #art #artgeneration #artgenerative #machineart #neuraltechniques #openAI #… https://t.co/u8niDCQlBd","['neuralart', 'neuralnetwork', 'midjourney', 'machinelearning', 'deeplearning', 'AI', 'cloudcreations', 'art', 'artgeneration', 'artgenerative', 'machineart', 'neuraltechniques', 'openAI']",en,IFTTT,0,Midjourney,Neutral
13684,2022-05-22,LomnitzSmadar,"The day will not be far off when artificial intelligence will create a three-dimensional model from text. Maybe there are already some and I do not know. Want to create an animated film in the future.

#NFTCommunity #ElonMusk #AiArtwork #aiartist #midjourney #NFTartist https://t.co/xifBUG3RT4","['NFTCommunity', 'ElonMusk', 'AiArtwork', 'aiartist', 'midjourney', 'NFTartist']",en,Twitter Web App,0,Midjourney,Positive
13685,2022-05-22,seltsamai,"created for seltsamai with tools from the Midjourney private beta. for more info visit @Midjourney on twitter
⠀
#neuralart #neuralnetwork #midjourney #machinelearning #deeplearning #AI #cloudcreations #art #artgeneration #artgenerative #machineart #neuraltechniques #openAI #… https://t.co/7lQOmMOBNl","['neuralart', 'neuralnetwork', 'midjourney', 'machinelearning', 'deeplearning', 'AI', 'cloudcreations', 'art', 'artgeneration', 'artgenerative', 'machineart', 'neuraltechniques', 'openAI']",en,IFTTT,0,Midjourney,Neutral
13686,2022-05-22,LauraShibawba,"The Supreme Patriarch
Photobash from multiple #midjourney generated images.

#AIart #artwork 
#artist #generativeart https://t.co/mHoqOVdkMh","['midjourney', 'AIart', 'artwork', 'artist', 'generativeart']",en,Twitter Web App,0,Midjourney,Neutral
13687,2022-05-22,seltsamai,"created for seltsamai with tools from the Midjourney private beta. for more info visit @Midjourney on twitter
⠀
#neuralart #neuralnetwork #midjourney #machinelearning #deeplearning #AI #cloudcreations #art #artgeneration #artgenerative #machineart #neuraltechniques #openAI #… https://t.co/WMK8L4zqNV","['neuralart', 'neuralnetwork', 'midjourney', 'machinelearning', 'deeplearning', 'AI', 'cloudcreations', 'art', 'artgeneration', 'artgenerative', 'machineart', 'neuraltechniques', 'openAI']",en,IFTTT,0,Midjourney,Neutral
13688,2022-05-22,LauraShibawba,"Cave dwellers.
Made from multiple AI generated images.
I love #midjourney !
#photobash 
#AIart #artwork 
#artist #generativeart #art https://t.co/prYFQgGmTy","['midjourney', 'photobash', 'AIart', 'artwork', 'artist', 'generativeart', 'art']",en,Twitter Web App,0,Midjourney,Positive
13689,2022-05-22,kgrsajid,"I was playing with text to imaginative image generation AI by @midjourney 😎

#midjourney is beating #dalle2 

These images were generated from this text: ""An alien planet with alien jungle in the dark""

What do you think? @_smanna @indiedries @JasperSchoormns @wbepodcast 😉 https://t.co/Z8QC4K9hPW","['midjourney', 'dalle2']",en,Twitter Web App,0,Midjourney,Neutral
13690,2022-05-22,seltsamai,"created for seltsamai with tools from the Midjourney private beta. for more info visit @Midjourney on twitter
⠀
#neuralart #neuralnetwork #midjourney #machinelearning #deeplearning #AI #cloudcreations #art #artgeneration #artgenerative #machineart #neuraltechniques #openAI #… https://t.co/ebXu7bTKEE","['neuralart', 'neuralnetwork', 'midjourney', 'machinelearning', 'deeplearning', 'AI', 'cloudcreations', 'art', 'artgeneration', 'artgenerative', 'machineart', 'neuraltechniques', 'openAI']",en,IFTTT,0,Midjourney,Neutral
13691,2022-05-22,seltsamai,"created for seltsamai with tools from the Midjourney private beta. for more info visit @Midjourney on twitter
⠀
#neuralart #neuralnetwork #midjourney #machinelearning #deeplearning #AI #cloudcreations #art #artgeneration #artgenerative #machineart #neuraltechniques #openAI #… https://t.co/rQVgKHZsCC","['neuralart', 'neuralnetwork', 'midjourney', 'machinelearning', 'deeplearning', 'AI', 'cloudcreations', 'art', 'artgeneration', 'artgenerative', 'machineart', 'neuraltechniques', 'openAI']",en,IFTTT,0,Midjourney,Neutral
13692,2022-05-22,seltsamai,"created for seltsamai with tools from the Midjourney private beta. for more info visit @Midjourney on twitter
⠀
#neuralart #neuralnetwork #midjourney #machinelearning #deeplearning #AI #cloudcreations #art #artgeneration #artgenerative #machineart #neuraltechniques #openAI #… https://t.co/cUDhCz0He9","['neuralart', 'neuralnetwork', 'midjourney', 'machinelearning', 'deeplearning', 'AI', 'cloudcreations', 'art', 'artgeneration', 'artgenerative', 'machineart', 'neuraltechniques', 'openAI']",en,IFTTT,0,Midjourney,Neutral
13693,2022-05-22,seltsamai,"created for seltsamai with tools from the Midjourney private beta. for more info visit @Midjourney on twitter
⠀
#neuralart #neuralnetwork #midjourney #machinelearning #deeplearning #AI #cloudcreations #art #artgeneration #artgenerative #machineart #neuraltechniques #openAI #… https://t.co/A118orMZ51","['neuralart', 'neuralnetwork', 'midjourney', 'machinelearning', 'deeplearning', 'AI', 'cloudcreations', 'art', 'artgeneration', 'artgenerative', 'machineart', 'neuraltechniques', 'openAI']",en,IFTTT,0,Midjourney,Neutral
13694,2022-05-22,SirRealismo,"""an enigmatic analog technology from the 2080s"" #AiArtwork #aiart #AI #art #artwork #ArtificialIntelligence #MachineLearning #diffusion #generativeart #midjourney https://t.co/QzmoxULKSD","['AiArtwork', 'aiart', 'AI', 'art', 'artwork', 'ArtificialIntelligence', 'MachineLearning', 'diffusion', 'generativeart', 'midjourney']",en,Twitter for Android,0,Midjourney,Neutral
13695,2022-05-22,seltsamai,"created for seltsamai with tools from the Midjourney private beta. for more info visit @Midjourney on twitter
⠀
#neuralart #neuralnetwork #midjourney #machinelearning #deeplearning #AI #cloudcreations #art #artgeneration #artgenerative #machineart #neuraltechniques #openAI #… https://t.co/iDLayAQrEJ","['neuralart', 'neuralnetwork', 'midjourney', 'machinelearning', 'deeplearning', 'AI', 'cloudcreations', 'art', 'artgeneration', 'artgenerative', 'machineart', 'neuraltechniques', 'openAI']",en,IFTTT,0,Midjourney,Neutral
13696,2022-05-22,seltsamai,"created for seltsamai with tools from the Midjourney private beta. for more info visit @Midjourney on twitter
⠀
#neuralart #neuralnetwork #midjourney #machinelearning #deeplearning #AI #cloudcreations #art #artgeneration #artgenerative #machineart #neuraltechniques #openAI #… https://t.co/cL5AJ9hiaY","['neuralart', 'neuralnetwork', 'midjourney', 'machinelearning', 'deeplearning', 'AI', 'cloudcreations', 'art', 'artgeneration', 'artgenerative', 'machineart', 'neuraltechniques', 'openAI']",en,IFTTT,0,Midjourney,Neutral
13697,2022-05-21,seltsamai,"created for seltsamai with tools from the Midjourney private beta. for more info visit @Midjourney on twitter
⠀
#neuralart #neuralnetwork #midjourney #machinelearning #deeplearning #AI #cloudcreations #art #artgeneration #artgenerative #machineart #neuraltechniques #openAI #… https://t.co/2sUkTETSVI","['neuralart', 'neuralnetwork', 'midjourney', 'machinelearning', 'deeplearning', 'AI', 'cloudcreations', 'art', 'artgeneration', 'artgenerative', 'machineart', 'neuraltechniques', 'openAI']",en,IFTTT,0,Midjourney,Neutral
